,0
1718,60056
1719,60147
1720,34154
1721,57369
1722,57056
1723,27223
1724,27224
1725,27202
1726,27234
1727,27237
1728,27244
1729,25087
1730,27272
1731,26799
1732,27266
1733,27270
1734,27245
1735,27398
1736,27289
1737,27381
1738,27341
1739,27363
1740,27368
1741,27359
1742,27347
1743,27339
1744,27380
1745,27379
1746,27390
1747,26642
1748,27415
1749,27402
1750,27414
1751,27510
1752,27508
1753,27406
1754,26462
1755,27405
1756,27403
1757,27408
1758,27418
1759,27413
1760,25900
1761,27416
1762,28538
1763,27441
1764,27420
1765,27429
1766,27422
1767,27423
1768,27030
1769,27534
1770,27520
1771,27560
1772,27532
1773,27721
1774,27563
1775,27542
1776,27523
1777,27550
1778,27635
1779,27681
1780,27727
1781,27722
1782,26673
1783,27726
1784,27719
1785,27770
1786,27816
1787,27745
1788,27756
1789,27818
1790,27916
1791,24786
1792,27817
1793,27832
1794,27828
1795,27860
1796,27861
1797,27866
1798,27509
1799,27783
1800,27772
1801,27911
1802,27134
1803,27915
1804,27491
1805,28034
1806,27918
1807,27927
1808,28008
1809,27460
1810,27954
1811,27970
1812,27973
1813,28027
1814,26116
1815,27529
1816,28472
1817,28588
1818,28590
1819,28591
1820,28017
1821,28032
1822,28033
1823,27768
1824,27769
1825,28077
1826,28086
1827,28091
1828,28139
1829,27731
1830,28171
1831,27729
1832,28157
1833,28331
1834,28320
1835,28185
1836,28168
1837,28210
1838,27493
1839,28235
1840,26943
1841,28200
1842,28209
1843,28246
1844,27815
1845,28257
1846,28238
1847,28276
1848,28267
1849,28333
1850,28305
1851,28337
1852,28313
1853,28349
1854,28317
1855,26904
1856,28354
1857,27773
1858,28390
1859,28402
1860,28404
1861,28373
1862,28372
1863,28399
1864,28414
1865,28397
1866,28428
1867,27831
1868,28467
1869,28509
1870,28301
1871,27535
1872,28480
1873,28519
1874,28523
1875,28300
1876,28520
1877,28551
1878,28553
1879,28573
1880,28594
1881,28555
1882,28587
1883,28634
1884,28640
1885,28619
1886,28605
1887,28606
1888,28299
1889,28589
1890,28679
1891,27813
1892,27757
1893,27527
1894,28672
1895,28721
1896,28765
1897,28785
1898,28715
1899,28728
1900,28508
1901,28767
1902,28827
1903,28828
1904,27882
1905,27735
1906,28060
1907,27431
1908,27430
1909,28847
1910,28839
1911,28846
1912,27807
1913,28854
1914,27843
1915,27845
1916,28868
1917,28477
1918,28879
1919,28304
1920,26979
1921,28562
1922,27847
1923,28934
1924,25915
1925,26536
1926,28943
1927,27126
1928,29011
1929,29022
1930,29027
1931,29059
1932,29046
1933,29044
1934,29181
1935,27082
1936,29082
1937,28787
1938,29026
1939,28883
1940,29086
1941,29118
1942,29090
1943,29091
1944,29092
1945,29101
1946,28579
1947,28495
1948,29146
1949,28557
1950,29085
1951,26605
1952,29083
1953,29190
1954,29009
1955,29136
1956,27439
1957,28772
1958,29246
1959,24885
1960,29191
1961,28496
1962,29290
1963,28062
1964,28635
1965,29337
1966,29272
1967,29336
1968,29170
1969,27753
1970,26914
1971,29366
1972,28241
1973,27762
1974,29480
1975,29373
1976,29456
1977,29496
1978,29323
1979,30397
1980,29715
1981,28506
1982,29583
1983,29592
1984,28081
1985,29374
1986,28093
1987,28164
1988,27804
1989,29326
1990,29792
1991,29681
1992,29444
1993,29172
1994,30465
1995,27221
1996,29406
