,0
1400,47606
1401,47796
1402,47845
1403,48073
1404,48371
1405,48573
1406,47662
1407,49149
1408,49332
1409,49477
1410,50107
1411,50105
1412,50116
1413,50152
1414,50231
1415,50247
1416,51644
1417,51802
1418,52913
1419,53562
1420,53973
1421,54087
1422,58925
1423,44292
1424,47463
1425,48342
1426,28977
1427,29501
1428,29249
1429,29281
1430,29571
1431,29575
1432,29629
1433,29811
1434,30831
1435,29098
1436,29257
1437,30873
1438,30295
1439,30635
1440,46350
1441,52753
1442,59087
1443,34878
1444,33475
1445,38650
1446,35098
1447,39641
1448,43791
1449,44548
1450,48393
1451,48402
1452,48401
1453,48403
1454,48399
1455,48407
1456,48405
1457,48409
1458,48597
1459,47802
1460,50593
1461,48593
1462,49124
1463,52316
1464,54494
1465,59029
1466,31097
1467,34115
1468,37731
1469,35871
1470,36809
1471,37794
1472,38221
1473,40936
1474,46209
1475,52647
1476,52709
1477,53643
1478,55256
1479,57436
1480,58885
1481,36681
1482,41330
1483,44541
1484,47891
1485,42099
1486,42110
1487,32824
1488,36092
1489,36924
1490,36069
1491,37546
1492,40700
1493,43225
1494,40318
1495,44287
1496,48598
1497,48596
1498,48588
1499,50701
1500,53667
1501,55087
1502,35655
1503,30050
1504,35438
1505,38261
1506,37211
1507,39891
1508,45991
1509,46732
1510,46117
1511,46051
1512,46649
1513,54856
1514,39156
1515,37857
1516,38044
1517,38124
1518,37876
1519,39159
1520,39162
1521,39163
1522,39333
1523,39416
1524,39167
1525,39287
1526,40638
1527,41831
1528,42355
1529,44779
1530,47095
1531,47188
1532,47780
1533,47798
1534,48157
1535,50154
1536,52695
1537,52821
1538,53161
1539,53185
1540,53351
1541,54355
1542,54628
1543,55044
1544,55986
1545,56531
1546,56607
1547,56656
1548,56673
1549,56672
1550,56671
1551,56674
1552,56881
1553,57194
1554,57345
1555,32494
1556,45018
1557,47190
1558,54888
1559,55908
1560,44469
1561,31552
1562,36952
1563,36999
1564,37705
1565,40823
1566,42198
1567,43145
1568,44713
1569,45497
