,0
1339,49025
1340,49397
1341,48316
1342,49639
1343,54151
1344,54152
1345,54155
1346,54156
1347,54157
1348,54158
1349,54159
1350,54160
1351,54161
1352,54162
1353,54164
1354,54165
1355,54166
1356,54167
1357,54168
1358,54169
1359,54171
1360,54173
1361,54174
1362,54184
1363,54186
1364,54188
1365,54191
1366,54192
1367,52083
1368,54418
1369,53635
1370,53858
1371,56284
1372,58631
1373,59742
1374,57818
1375,59732
1376,27784
1377,27361
1378,27425
1379,27448
1380,27603
1381,27780
1382,27766
1383,27906
1384,27437
1385,28152
1386,28214
1387,28254
1388,28256
1389,28340
1390,28268
1391,28565
1392,28493
1393,28272
1394,27782
1395,28842
1396,28865
1397,28874
1398,28876
1399,29274
1400,29378
1401,28076
1402,29134
1403,30398
1404,29600
1405,29601
1406,28089
1407,30115
1408,30191
1409,29804
1410,30753
1411,29852
1412,29671
1413,29799
1414,29800
1415,30717
1416,30043
1417,30462
1418,28794
1419,30415
1420,25984
1421,30715
1422,31011
1423,31012
1424,30954
1425,31020
1426,31069
1427,26278
1428,31135
1429,31137
1430,28412
1431,31164
1432,30710
1433,25982
1434,31087
1435,31392
1436,31407
1437,28131
1438,31524
1439,31619
1440,31644
1441,31650
1442,31769
1443,31654
1444,31881
1445,31885
1446,26074
1447,31812
1448,26747
1449,32007
1450,32332
1451,31750
1452,32477
1453,32347
1454,32391
1455,32594
1456,32699
1457,32695
1458,32792
1459,32750
1460,32850
1461,32880
1462,32857
1463,32851
1464,32958
1465,32957
1466,32946
1467,32974
1468,30074
1469,33059
1470,33136
1471,33166
1472,33175
1473,33176
1474,33177
1475,33262
1476,33200
1477,33304
1478,33307
1479,33385
1480,33411
1481,33412
1482,33004
1483,31484
1484,33491
1485,33058
1486,33621
1487,33584
1488,33145
1489,33279
1490,34035
1491,34014
1492,34025
1493,34046
1494,34043
1495,33536
1496,33537
1497,33829
1498,33915
1499,33190
1500,34192
1501,33979
1502,34308
1503,34336
1504,34317
1505,34320
1506,34343
1507,34340
1508,34399
1509,34128
1510,34513
1511,34505
1512,34555
1513,34130
1514,34274
1515,34577
1516,34594
1517,34595
1518,33350
1519,34688
1520,34156
1521,28138
1522,32134
1523,34729
1524,34553
1525,32326
1526,34122
1527,27712
1528,34842
1529,28097
1530,27976
1531,28245
1532,28211
1533,34611
1534,34885
1535,27723
1536,33616
1537,34318
1538,34957
1539,35071
1540,30426
1541,34952
1542,30470
1543,35256
1544,35303
1545,31549
1546,34562
1547,35230
1548,35222
1549,35632
1550,35621
1551,35622
1552,35589
1553,35591
1554,35592
1555,35593
1556,35689
1557,35720
1558,34681
1559,35780
1560,35803
1561,28000
1562,35576
1563,28208
1564,35668
1565,35669
1566,27786
1567,30339
1568,30888
1569,36044
1570,35725
1571,35726
1572,29685
1573,33395
1574,35790
1575,35791
1576,30478
1577,36314
1578,36320
1579,36167
